modality,pilot_n,rep,pi,scale,true_omega2,power,eval_n
gene,7,5,0.68,1.0,0.0588791777202153,1.0,80
gene,7,5,0.75,1.0,0.0774660920374677,1.0,80
gene,7,5,0.82,1.0,0.1200365545042628,1.0,80
gene,7,5,0.88,1.0,0.216736401838459,1.0,80
gene,7,5,0.93,1.0,0.1875210061046491,1.0,80
gene,7,5,0.97,1.0,0.2526206487152773,1.0,80
gene,7,5,1.0,1.0,0.3784534296654043,1.0,80
gene,7,5,1.0,1.3,0.416709875804218,1.0,80
gene,7,5,1.0,1.7,0.4280535646403854,1.0,80
gene,7,6,0.5,1.0,0.0,0.075,80
gene,7,6,0.6,1.0,0.0170208890724307,0.675,80
gene,7,6,0.68,1.0,0.0697278076832871,1.0,80
gene,7,6,0.75,1.0,0.0658111283506624,0.975,80
gene,7,6,0.82,1.0,0.1048720335694122,1.0,80
gene,7,6,0.88,1.0,0.2964086508423096,1.0,80
gene,7,6,0.93,1.0,0.2882330586055814,1.0,80
gene,7,6,0.97,1.0,0.3511515395965451,1.0,80
gene,7,6,1.0,1.0,0.4167765788039352,1.0,80
gene,7,6,1.0,1.3,0.401742472043925,1.0,80
gene,7,6,1.0,1.7,0.4685656836589524,1.0,80
gene,7,7,0.5,1.0,0.0,0.075,80
gene,7,7,0.6,1.0,0.0123641172855889,0.575,80
gene,7,7,0.68,1.0,0.067099092920631,1.0,80
gene,7,7,0.75,1.0,0.0776848832287554,1.0,80
gene,7,7,0.82,1.0,0.107256413563932,1.0,80
gene,7,7,0.88,1.0,0.2490170126877268,1.0,80
gene,7,7,0.93,1.0,0.2637811360710586,1.0,80
gene,7,7,0.97,1.0,0.3146245203887838,1.0,80
gene,7,7,1.0,1.0,0.4160266692182616,1.0,80
gene,7,7,1.0,1.3,0.4222624900779092,1.0,80
gene,7,7,1.0,1.7,0.4248637198283564,1.0,80
gene,7,8,0.5,1.0,0.0,0.125,80
gene,7,8,0.6,1.0,0.0168355505213812,0.675,80
gene,7,8,0.68,1.0,0.076098105159173,1.0,80
gene,7,8,0.75,1.0,0.084063983064064,1.0,80
gene,7,8,0.82,1.0,0.124911351648894,1.0,80
gene,7,8,0.88,1.0,0.3074797944865765,1.0,80
gene,7,8,0.93,1.0,0.3048396020649297,1.0,80
gene,7,8,0.97,1.0,0.4032420420702249,1.0,80
gene,7,8,1.0,1.0,0.4663039348419059,1.0,80
gene,7,8,1.0,1.3,0.4464770183010632,1.0,80
gene,7,8,1.0,1.7,0.4719280562684323,1.0,80
gene,7,9,0.5,1.0,0.0,0.05,80
gene,7,9,0.6,1.0,0.014605898910661,0.625,80
gene,7,9,0.68,1.0,0.0642853916886889,1.0,80
gene,7,9,0.75,1.0,0.0524148505824306,0.975,80
gene,7,9,0.82,1.0,0.0950283583046887,1.0,80
gene,7,9,0.88,1.0,0.293056676522087,1.0,80
gene,7,9,0.93,1.0,0.2773873554605227,1.0,80
gene,7,9,0.97,1.0,0.3175296908552683,1.0,80
gene,7,9,1.0,1.0,0.4052306790157352,1.0,80
gene,7,9,1.0,1.3,0.4077351331243752,1.0,80
gene,7,9,1.0,1.7,0.4416807822719131,1.0,80
gene,7,10,0.5,1.0,0.0,0.075,80
gene,7,10,0.6,1.0,0.015231068253868,0.575,80
gene,7,10,0.68,1.0,0.0586143541031409,1.0,80
gene,7,10,0.75,1.0,0.0627136313246761,1.0,80
gene,7,10,0.82,1.0,0.1037181428235074,1.0,80
gene,7,10,0.88,1.0,0.2557410632863154,1.0,80
gene,7,10,0.93,1.0,0.2765294124426206,1.0,80
gene,7,10,0.97,1.0,0.3267923107970419,1.0,80
gene,7,10,1.0,1.0,0.4016799792551252,1.0,80
gene,7,10,1.0,1.3,0.4046343336508157,1.0,80
gene,7,10,1.0,1.7,0.4441206645256726,1.0,80
gene,7,11,0.5,1.0,0.0,0.15,80
gene,7,11,0.6,1.0,0.0185155072912303,0.675,80
gene,7,11,0.68,1.0,0.0550114976535244,1.0,80
gene,7,11,0.75,1.0,0.0726866362231918,1.0,80
gene,7,11,0.82,1.0,0.0936139722405093,1.0,80
gene,7,11,0.88,1.0,0.2474547117531637,1.0,80
gene,7,11,0.93,1.0,0.2153626760004682,1.0,80
gene,7,11,0.97,1.0,0.2240877989575125,1.0,80
gene,7,11,1.0,1.0,0.3974850528312754,1.0,80
gene,7,11,1.0,1.3,0.393555813414781,1.0,80
gene,7,11,1.0,1.7,0.4310696617991235,1.0,80
gene,7,12,0.5,1.0,0.0,0.025,80
