modality,split,metric,value
protein,38,abundance,0.06117209063482898
protein,38,prevalence,0.19872905834777577
protein,38,distance,0.5373737373737374
protein,38,dispersion,0.2606516290726817
protein,38,omega2,1.6490427586988672
protein,38,deff,0.037051473406095596
protein,38,tf_topology,0.2756892230576441
protein,38,source_r2,0.03301450712562856
protein,39,abundance,0.023172219012773554
protein,39,prevalence,0.2084215931702933
protein,39,distance,0.1404040404040404
protein,39,dispersion,0.17293233082706766
protein,39,omega2,0.15630179600917998
protein,39,deff,0.030845164536517783
protein,39,tf_topology,0.17293233082706766
protein,39,source_r2,0.0127639586791936
protein,40,abundance,0.07073624751267737
protein,40,prevalence,0.1663136273188266
protein,40,distance,0.11691358024691358
protein,40,dispersion,0.17543859649122806
protein,40,omega2,0.20201650176609431
protein,40,deff,0.6032640182091417
protein,40,tf_topology,0.16541353383458646
protein,40,source_r2,0.011441493904140345
protein,41,abundance,0.03517555683933504
protein,41,prevalence,0.20399255407920924
protein,41,distance,0.22839506172839505
protein,41,dispersion,0.37092731829573933
protein,41,omega2,0.39294449184887614
protein,41,deff,0.042558563858908535
protein,41,tf_topology,0.22305764411027568
protein,41,source_r2,0.016378397002520986
protein,42,abundance,0.050067398420951315
protein,42,prevalence,0.22870530842801207
protein,42,distance,0.23901234567901233
protein,42,dispersion,0.3358395989974937
protein,42,omega2,0.4527334013460423
protein,42,deff,0.12336263130063604
protein,42,tf_topology,0.2852144890504845
protein,42,source_r2,0.016619533274367684
protein,43,abundance,0.09037807304705048
protein,43,prevalence,0.25733359008922274
protein,43,distance,0.29901234567901236
protein,43,dispersion,0.37092731829573933
protein,43,omega2,0.3398325565576129
protein,43,deff,0.052935801404167586
protein,43,tf_topology,0.14285714285714285
protein,43,source_r2,0.016375208753242134
protein,44,abundance,0.07471596379741952
protein,44,prevalence,0.19327299569933887
protein,44,distance,0.31616161616161614
protein,44,dispersion,0.2606516290726817
protein,44,omega2,0.39838543673662424
protein,44,deff,0.3275063997389311
protein,44,tf_topology,0.22807017543859648
protein,44,source_r2,0.020385779982537475
protein,45,abundance,0.05738494126709037
protein,45,prevalence,0.25527954297451705
protein,45,distance,0.18679012345679014
protein,45,dispersion,0.23558897243107768
protein,45,omega2,0.0967552600043591
protein,45,deff,0.03473309533191814
protein,45,tf_topology,0.23057644110275688
protein,45,source_r2,0.013920505706445145
protein,46,abundance,0.047371461582900065
protein,46,prevalence,0.16233391103408434
protein,46,distance,0.3202020202020202
protein,46,dispersion,0.2882205513784461
protein,46,omega2,0.8995635416359022
protein,46,deff,0.3761557705983428
protein,46,tf_topology,0.16541353383458646
protein,46,source_r2,0.016737570125980226
protein,47,abundance,0.08415174273059889
protein,47,prevalence,0.16220553308941532
protein,47,distance,0.3101010101010101
protein,47,dispersion,0.23057644110275688
protein,47,omega2,0.8473612381822642
protein,47,deff,0.20552854031483345
protein,47,tf_topology,0.20802005012531327
protein,47,source_r2,0.018475621591681667
protein,48,abundance,0.07978689261184924
protein,48,prevalence,0.26779639257975485
protein,48,distance,0.10101010101010101
protein,48,dispersion,0.14285714285714285
protein,48,omega2,0.046973923774189755
protein,48,deff,0.23385498535032065
protein,48,tf_topology,0.23955024764674737
protein,48,source_r2,0.012909226547978962
protein,49,abundance,0.13441170806855385
protein,49,prevalence,0.12555362988638546
protein,49,distance,0.24848484848484848
protein,49,dispersion,0.3032581453634085
protein,49,omega2,0.6998194720084465
protein,49,deff,0.08263079292710039
protein,49,tf_topology,0.28267492369007813
protein,49,source_r2,0.020857808216735586
protein,50,abundance,0.027986391937865118
