modality,split,metric,value
protein,33,omega2,1.015627776843963
protein,33,deff,0.4725214367224592
protein,33,tf_topology,0.17337461300309598
protein,33,source_r2,0.019194715440401123
protein,34,abundance,0.05310365915808786
protein,34,prevalence,0.29517888084802774
protein,34,distance,0.3
protein,34,dispersion,0.2786377708978328
protein,34,omega2,3.4805701056172187
protein,34,deff,0.5623935968596517
protein,34,tf_topology,0.3065015479876161
protein,34,source_r2,0.029962242069192208
protein,35,abundance,0.09102028335541738
protein,35,prevalence,0.4459280399551524
protein,35,distance,0.3425925925925926
protein,35,dispersion,0.4613003095975232
protein,35,omega2,0.08034220464738802
protein,35,deff,0.7640252989379809
protein,35,tf_topology,0.7744141150955272
protein,35,source_r2,0.08330230895502617
protein,36,abundance,0.0293548058301906
protein,36,prevalence,0.3579655488737132
protein,36,distance,0.14467592592592593
protein,36,dispersion,0.10835913312693499
protein,36,omega2,0.3604547401622013
protein,36,deff,0.11593856953248458
protein,36,tf_topology,0.1238390092879257
protein,36,source_r2,0.014033896944849652
protein,37,abundance,0.06299052084395067
protein,37,prevalence,0.3095505045357252
protein,37,distance,0.16068672839506173
protein,37,dispersion,0.2724458204334365
protein,37,omega2,0.3162066803996816
protein,37,deff,0.49449916877385947
protein,37,tf_topology,0.2043343653250774
protein,37,source_r2,0.019598761733069556
protein,38,abundance,0.042809091835694625
protein,38,prevalence,0.28794210579961266
protein,38,distance,0.20601851851851852
protein,38,dispersion,0.24148606811145512
protein,38,omega2,1.6864568780596103
protein,38,deff,0.36735272459913
protein,38,tf_topology,0.41962110825315846
protein,38,source_r2,0.037055849669411896
protein,39,abundance,0.1549281418815615
protein,39,prevalence,0.25777188869636125
protein,39,distance,0.17222222222222222
protein,39,dispersion,0.25696594427244585
protein,39,omega2,0.901202571646775
protein,39,deff,0.31712575817790584
protein,39,tf_topology,0.19814241486068113
protein,39,source_r2,0.021265353130984252
protein,40,abundance,0.22872286209356843
protein,40,prevalence,0.22770359800224238
protein,40,distance,0.18209876543209877
protein,40,dispersion,0.24148606811145512
protein,40,omega2,1.341101711995881
protein,40,deff,0.01186476087931556
protein,40,tf_topology,0.5551051307413135
protein,40,source_r2,0.027695959302701745
protein,41,abundance,0.08266231780654368
protein,41,prevalence,0.25481602283151567
protein,41,distance,0.4388888888888889
protein,41,dispersion,0.5479876160990712
protein,41,omega2,39.86313713864835
protein,41,deff,0.5599386836966943
protein,41,tf_topology,0.34712770456039704
protein,41,source_r2,0.038090932830351795
protein,42,abundance,0.16094180002038527
protein,42,prevalence,0.22576699622872287
protein,42,distance,0.6138888888888889
protein,42,dispersion,0.47058823529411764
protein,42,omega2,39.86313713864835
protein,42,deff,0.1450511068690611
protein,42,tf_topology,0.3653250773993808
protein,42,source_r2,0.044931590243080334
protein,43,abundance,0.09193762103761084
protein,43,prevalence,0.2914076037101213
protein,43,distance,0.17222222222222222
protein,43,dispersion,0.13312693498452013
protein,43,omega2,1.810790385653974
protein,43,deff,0.1926046817620474
protein,43,tf_topology,0.23839009287925697
protein,43,source_r2,0.01210233720852148
protein,44,abundance,0.3468555702782591
protein,44,prevalence,0.3466517174599939
protein,44,distance,0.3527777777777778
protein,44,dispersion,0.30030959752321984
protein,44,omega2,39.86313713864835
protein,44,deff,0.21747853748123255
protein,44,tf_topology,1.0909977045952595
protein,44,source_r2,0.10280356426782052
protein,45,abundance,0.11201712363673427
protein,45,prevalence,0.39628987870757315
protein,45,distance,0.32222222222222224
protein,45,dispersion,0.25696594427244585
protein,45,omega2,2.158100580393483
protein,45,deff,0.2663329206582355
protein,45,tf_topology,0.25696594427244585
protein,45,source_r2,0.016297106400697425
protein,46,abundance,0.17551727652634797
protein,46,prevalence,0.24248292732647028
protein,46,distance,0.22665895061728394
protein,46,dispersion,0.6068111455108359
protein,46,omega2,39.86313713864835
protein,46,deff,0.038063692135584415
protein,46,tf_topology,0.25696594427244585
protein,46,source_r2,0.018626079879318993
protein,47,abundance,0.0700234430741005
protein,47,prevalence,0.29711548262154724
protein,47,distance,0.20775462962962962
protein,47,dispersion,0.4674922600619195
protein,47,omega2,36.518660175977494
protein,47,deff,0.17883164877860522
protein,47,tf_topology,0.21052631578947367
protein,47,source_r2,0.018445663818484993
protein,48,abundance,0.09754357353990419
protein,48,prevalence,0.4420548364081133
protein,48,distance,0.21388888888888888
protein,48,dispersion,0.14551083591331268
protein,48,omega2,3.9517836091155414
protein,48,deff,0.15196176660985705
protein,48,tf_topology,0.6137191082605875
protein,48,source_r2,0.039865416229335975
protein,49,abundance,0.16848435429619815
protein,49,prevalence,0.22515543777392721
protein,49,distance,0.24722222222222223
protein,49,dispersion,0.4179566563467492
protein,49,omega2,6.155550664532507
